,four/aLogic,four/aLogicNegative,four/aLogicNegative1,four/aLogicNegative2,four/aStructure,four/b1Logic,four/bLogic,four/bStructure,four/cLogic,four/cStructure,four/forArithmetic,four/forArray,three/aLogic,three/aLogicNegative,three/aLogicNegative1,three/aLogicNegative2,three/aStructure,three/b1Logic,three/bLogic,three/bStructure,three/cLogic,three/cStructure,three/forArithmetic,three/forArray,two/aLogic,two/aLogicNegative,two/aLogicNegative1,two/aLogicNegative2,two/aStructure,two/bLogic,two/bStructure,two/forArithmetic,two/forArray,special/forArr0,special/forArr1,special/forArr2,special/forArr3,special/forArr4,special/forArr5,special/forArr6
1469964411938,,,,,,,,,,,,,7860.25,,,,,,,,,,,,2819.24500000005,,,,,,,,,10791.16,,,,,,
1469964958370,,33462.585,,,,,,,,,,,19707.965,19475.39,,32394.34,,,,,,,,,,18252.73,,16266.01,,,,,,,14635.81,,,45660.51,,23453.6949999999
1470052983807,,23970.105,,,,,,,,,,,15703.705,17688.18,12617.17,3704.51999999999,,,,,,,,,,20479.8,,,,,,,,18924.51,,,,9570.03,,
1470037228441,,,,,38581.665,,,,,28196.755,,,,,,,32978.7750000001,,,,,,62488.82,,,,,,12926.6799999999,,,,19640.3,10738.995,,,,,,
1470124390113,22521.565,21046.815,,,,,,,,,,,33253.81,17081.3350000001,21145.815,33753.835,,,,,,,,,10263.4999999999,,,16989.825,,,,,,8788.17500000005,,59691.15,15545.54,,,
1469996564491,,,,,,,,,,30287.77,39957.3,,,,,,15223.1099999999,,,,,24251.69,54644.625,,,,,,,,,22134.02,35286.14,,,,7059.01499999998,7614.51999999999,,
1470029490100,15120.77,24844.97,,,,,,,,,,,13706.45,,15025.935,14177.015,,,,,,,,,9268.175,12578.205,,,,,,,,,17131.62,,15216.33,,,17456.97
1470122746635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470132444759,,,,,16892.745,,,,,,,,,,,,6896.39999999997,,,,,26601.19,,,,,,,6213.31499999994,,,,,18824.915,,,,,8885.53999999998,
1469965400678,,,,29495.38,,,,,,,,,27840.225,24930.685,13798.365,19871.4550000001,,,,,,,,,,25870,22637.185,,,,,,,,9791.09999999998,,,,,
1470033792491,26935.41,17643.485,,,,,,,,,,,28969.89,31738.53,,19071.88,,,,,,,,,16319.445,,,19627.845,,,,,,8740.02499999997,,12146.605,26388.12,,,
1469966309841,,,,,,,,,,,,,15371.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469985861182,,,,,,,,,,,,,22585.755,,,,9025.42000000004,37432.445,,48179.46,25108.105,15816,,,23142.225,,,,,,17175.055,,,6394.16500000001,,,7840.005,,,
1469963304696,,,,,,,,,,,75558.305,,,,,,24458.3,,,,,25834.085,,41374.975,,,,,,,,37214.855,58229.1,,12139.16,,,,11234.405,38465.325
1469966926695,,28767.3,,,,,,,,,,,28754.425,15669.21,,23035.595,,,,,,,,,,16341.995,,28630.395,,,,,,,20695.775,23549.53,,,24391.005,
1470037055414,,,13406.4650000001,20010.655,,,,,,,,,11550.2600000002,22790.0699999999,,54360.78,,,,,,,,,,,,,,,,,,6801.84000000008,,6262.40999999992,,,,
1469965077825,24944.98,,,,,,,,,,,,22028.06,,,,35800.76,44809.65,,22237.22,28954.35,47892.65,,,13474.25,,,,,,20143.095,,,,,,,,,
1470046932302,,,,51578.26,,,,,,,,,49664.135,22432.6249999999,20265.8100000001,20174.755,,,,,,,,,,,33786.915,20866.7,,,,,,11032.825,,,,,,24793.89
1470070621755,,,,,,,,,,,,,20059.82,27242.215,,,,,,,,,,,,,,,,,,,,,,,,,,
1470124144722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470033405428,,,,,,,,,,19768.1850000001,81670.6850000001,,,,,,13202.3450000002,,,,,,,49857,,,,,,,,8784.45500000007,14887.4799999995,,18180.6600000001,,16449.8799999999,,18725.8250000002,
1470145252171,19376.955,,,,,,,23767.015,,,,,13015.98,,,,13405.95,,,8074.33000000002,27098.3200000001,10947.56,,,18697.875,,,,,,13452.8,,,8625.035,,,,8835.45999999999,18366.835,
1470057600448,,43414.9649999999,,,,,,,,,,,30626.9329999996,23243.3140000012,29177.8949999989,26634.0339999988,,,,,,,,,,16914.0069999994,20419.2440000006,,,,,,,,,9723.37799999877,,,,
1470056794199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469998695917,,,,,,,,,,,72109.44,12197.87,,,,,17294.865,,,,,9969.56500000006,41296.63,42131.8550000001,,,,,,,,,17560.4999999999,6024.17000000004,,,,,14223.8899999999,
1470076633371,,,,,,23601.525,25907.4349999999,,,,,,46570.48,,,,17495.795,14577.9500000001,,37586.435,31291.0049999999,41430.305,,,15210.97,,,,,,17832.08,,,10867.595,,20813.63,,,19003.54,
1465909392864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469964063044,13374.415,,,,,,,,,,,,11007.0599999999,13335.54,18624.285,30588.0399999999,,,,,,,,,20878.0699999999,44195.975,,,,,,,,,,13056,,,,
1469995626124,8407.02500000002,,,,,,40907.88,,,,,,15961.485,,,,,,,,,20662.78,,,,,,,,14040.6849999999,,,,,,10551.01,,,,
1469969992656,,,,,,,,,,,,,,28381.32,40503.26,30291.22,,,,,,,,,,,31615.71,,,,,,,,,,12107.11,,,
1469981767844,,,,,,,,,,,46955.375,37716.79,,,,,40286.33,,,,,39095.27,53351.4450000001,,,,,,,,,,84002.815,,,36084.895,,,,18232.505
1470029078654,,,,,18875.835,,,,,,,,24132.355,,,,39900.99,26177.715,,,,,,,,,,,,,18466.93,,,,,11599.4700000001,,,,
1470144972921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29935.645,,,,,17986.785,
1469966543184,,,,,10158.975,,,,,11784.005,,,,,,,17029.2,,,,,12079.535,22607.4,,,,,,,,,27360.065,,,11436.7,,13196.085,,16915.75,
1469988078434,25953.0150000001,59004.635,,,,,,,,,,,20434.985,23211.515,,38443.365,,,,,,,,,,,22297.0149999999,31739.4099999999,,,,,,10915.9650000001,,14411.645,24421.2599999999,,,
1470002551516,,,,,,12597.775,30068.54,,,,,,12672.065,,,,14373.745,20073.045,,17578.8,27424.505,14663.215,,,22571.03,,,,,,7625.82500000001,,,12935.2,,,,,12641.99,10769.22
1469970535113,26659.865,,,,,,,18819.135,,,,,17712.68,,,,14900.455,20850.65,,14199.19,32172.795,,,,10428.805,,,,,,12081.425,,,12138.745,,13946.71,,,27944.12,
1470114426792,,,,,,,,,,,,,23081.785,22659.28,33007.855,15795.09,,,,,,,,,11699.135,,,11915.09,,,,,,,10147.475,23409.445,,,,
1469964169880,,,,,,,,,,,,,5809.505,,,,,,,,,,,,,43467.89,2175.08999999997,,,,,,,,,,,,,
1470131807273,,,,11250.475,,,,,,,,,31247.39,20595.53,11506.93,38512.25,,,,,,,,,,,13961.04,14586.29,,,,,,17858.255,,,5579.51000000001,,,
1470070520259,,,,,,34435.945,42335.475,,,,,,21982.14,,,,16613.96,25548.975,,37909.53,35185.79,26237.36,,,8747.97500000001,,,,,,26322.295,,,11847.74,,,,10281.29,,13346.81
1469982972961,29368.3850000001,24976.655,,,,,,,,,,,25978.23,22481.43,25889.27,41975.305,,,,,,,,,,13257.42,25082.54,,,,,,,10058.625,,15418.725,46730.875,,,
1469978012410,,,,,,21970.455,,,,,,,37957.355,,,,16812.845,17285.335,,,,,,,12732.7100000001,,,,,,,,,8710.50000000006,,,,8466.39000000001,,
1469966387398,,,30714.465,,,,,,,,,,26195.805,20092.8700000001,45806.78,,,,,,,,,,,,31457.54,34481.215,,,,,,,,,,,,
1469977411605,,,,,31118.9049999999,,,,,,,,25795.905,,,,21137.12,20863.6849999999,,28235.995,,,,,10808.3099999999,,,,,42808.225,,,,39852.3,,8962.67000000004,,,,
1469990397994,,,,,,,,,,,63339.345,14644.76,,,,,49743.25,,,,,24124.3050000001,24716.105,47248.83,,,,,,,,27461.08,19674.265,11416.97,,,,,28868.6,
1470122325645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469965385923,,,,,,,,21034.705,,,,,12738.795,,,,10369.83,14519.2,,8693.575,19718.675,16850.27,,,,,,,,,11557.06,,,7447.96999999999,,,6851.05000000002,,,
1469985827130,24247.98,,,,,,,27046.54,,,,,14514.8200000001,,,,10940.93,32330.63,,16824.11,,17966.44,,,20484.29,,,,,,16496.52,,,9748.95999999999,,,9787.67999999999,,,27297.03
1470036850171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470017270494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470163465203,,,,,12603.78,,,,,19566.16,,,11358.12,,,,10052.23,9944.265,,10738.525,13489.045,12440.065,,,8186.56,,,,,12533.51,,,,13943.52,,10419.82,10944.41,,,
1470001436130,,,,,,,,,,,,,13868.025,13056.61,21427.01,,,,,,,,,,,10338.9350000001,10956.9199999999,,,,,,,,7562.10499999998,,,,,
1469977693342,,,,,,,,,,,36823.835,19453.46,,,,,21081.125,,,,,29448.885,46603.835,,,,,,,,,10775.6250000001,35209.705,,11006.1949999999,,,,16170.615,
1469983679120,,,,,,,,,,,,,16989.28,16383.705,,20845.355,,,,,,,,,,,20284.09,15004,,,,,,13631.195,,15545.665,,,34347.3,
1469964447229,,,31159.8,59000.75,,,,,,,,,23861.88,,,33712.975,,,,,,,,,,17433.82,,,,,,,,32909.5050000001,,,,,17574.025,
1470302111758,24897.9999999999,26183,,,,,,,,,,,19229.9999999999,20188.0000000001,,,,,,,,,,,,,,,,,,,,,,,,,,
1470050029503,,,,,17315.885,,,,,11032.995,,,,,,,25912.975,,,,,17013.315,48239.545,56339.89,,,,,9340.22999999998,,,,32711.12,,,,,9089.48999999999,,17055.97
1469966046306,,,,,10451.6,,,,,13789.105,,,,,,,6888.37500000003,,,,,13858.08,9797.71,22054.37,,,,,7056.07000000001,,,,11702.88,,8800.82500000001,,,,,
1469982375193,,,,16077.815,,,,,,,,,22865.97,15931.35,14546.61,12865.015,,,,,,,,,,,14746.79,18256.865,,,,,,,8317.90999999997,8716.29499999998,,,,14907.66
1470036565642,,,,,,,,,,,,,20811.055,,,,,,,18260.58,,,,,,,,,,,,,,,,,,,,
1469966173830,,,,,,,,,,28850.63,,,18380.495,,,,7341.30500000002,19194.69,7563.47000000003,12736.365,15683.28,18113.355,,,9250.84999999998,,,,,,,,,,29384.02,9851.745,,,,
1469982042517,,38830.895,,,,,,,,,,,17252.735,14849.815,14612.415,14588.275,,,,,,,,,,,24469.47,9763.41000000003,,,,,,,20774.305,,,,,
1470025311620,31294.0650000001,19655.99,,,,,,,,,,,23739.6350000001,46904.76,,21496.96,,,,,,,,,23948.41,,,28990.685,,,,,,,,,,53795.68,,
1470123104685,28700.805,22381.665,,,,,,,,,,,11959.25,17748.96,18189.215,16505.93,,,,,,,,,,12782.05,21041.45,,,,,,,16084.01,,,,,,
1470061653106,21210.125,,,,,,,,,,,,25833.42,,,,,,,17421.82,,,,,16650.36,,,,,17865.36,,,,,,,,11918.875,,
1469969909853,,,,,,,,,,8567.66500000001,4613.95,,,,,,6393.48499999999,,,,,10066.61,,,,,,,,,,2405.70499999999,,,,,5312.495,,,
1470029409862,,,27963.665,20335.9749999999,,,,,,,,,17871.0699999998,,8088.18999999994,13424.4749999999,,,,,,,,,,11376.55,18935.7549999999,,,,,,,21438.3499999999,,9422.02499999991,,,18127.7249999996,
1469983652932,,,,,25181.2700000001,,,,,34444.91,,,31103.1699999999,,,,26459.59,32022.61,,17243.29,29714.35,49347.45,,,18705.895,,,,,,,,,18988.055,,,9314.07500000001,,,22056.235
1470028541252,,,,,,,,,,,,,,,,,,,,,,,,,,23144.17,47461.32,,,,,,,,15330.04,,,,,
1470037816336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470070517773,6983.63499999998,,,,,,,26340.1,,,,,10030.655,,,,,,,14470.78,11327.875,15773.515,,,,,,,,,34927.58,,,,,13908.445,,,,
1467641908895,,,,,,,,,,27923.425,,60159.685,,,,26648.22,,,,,,,,,16357.25,,39616.34,,,,,,,,,,,,,
1470038176538,,,,,8488.38,,,,,9162.01000000001,,,,,,,6560.39999999997,,,,,12147.06,,,,,,,10844.135,,,,24879.99,5151.87,,4541.255,5561.62999999995,,,
1465979598297,23000.085,31332.1,18184.8000000001,49880.7449999999,40648.38,26168.8,,,,32087.255,8895.47499999998,12133.66,22729.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470214687478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470123416638,,,,,,,,26306.3,,12905.8550000001,,,11653.1199999999,,,,12009.5599999999,15148.405,20519.7500000001,11952.2400000001,19630.1850000001,14479.905,,,9981.7300000001,,,,,,18927.465,,,16830.06,,,,13687.27,,17634.5750000001
1469984726018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469971148916,,,,,,,,,,,,,16191.48,12681.5049999999,19154.675,20587.895,,,,,,,,,,16328.05,21959.36,,,,,,,,23106.255,14370.205,,,10435.1,
1470031273706,23641.4699999997,,,,,,,,,,,,27779.3499999996,22395.2050000001,52122.0049999999,44434.1350000007,,,,,,,,,32987.0700000003,20234.4850000003,,,,,,,,20198.4350000005,,10915.5750000002,,,,
1470115016080,,,,,19928.7500000001,,,,,26552.3099999999,,,16097.5850000001,,,,16323.255,25479.7,,22222.105,23951.845,21179.785,,,12796.325,,,,,,19179.925,,,13570.72,,,,17212.315,22635.625,
1469967808905,,,,,,,,,,,44930.63,,,,,,14844.69,,,,,26450.27,38187.335,26437.87,,,,,,,,,20558.12,41215.115,,24310.985,,,17629.53,
1470117844523,,,,,,,,14555.195,,15728.655,,,9285.89,,,,7381.78,10510.4,,8710.61000000002,15024.195,25934.72,,,10414.075,,,,,,7955.51999999999,,,,10113.505,6939.445,,,,15408.38
1470128329765,30910.735,,,,,22987.3149999999,49313.335,,,,,,12544.83,,,,31645.39,14661.4850000001,,12858.155,34037.53,38421.32,,,6288.26500000001,,,,,12274.7050000001,,,,8644.79000000004,,,12937.145,,15387.725,
1469967043880,,,,45696.64,,,,,,,,,,18391.065,33842.68,5439.97000000003,,,,,,,,,,,13782.09,11632.705,,,,,,,15872.155,,,,,
1470100307032,,,,,,27376.215,,,,,,,17380.98,,,,11802.21,13244.4350000001,52229.125,24531.685,19551.1750000001,23816.495,,,22373.39,,,,,13225.825,,,,,13532.015,,,,15236.33,
1470037548067,15764,,,,,22036,,,,,,,,,,,,17453,,,,,,,,,,,,,,,,,,,,,,
1470029781937,9385.03,,,,,,,15587.11,,,,,12230.45,,,,10253.475,15460.51,,14905.975,17833.5,,,,7802.70000000004,,,,,10228.01,,,,18302.295,,,12570.295,,15528.07,
1470035349065,,,,,,,,,,,,,,,,,,,,,,,,,4864.645,,,,,,,,,,,,,,,
1469996261690,,,,30216.045,,,,,,,,,5848.94999999998,21640.445,21453.015,26143.135,,,,,,,,,,,27428.585,10647.27,,,,,,,9882.18500000001,7462.685,,,31219.14,
1466520707392,,,,,28037.04,49180.345,,49497.725,,,,,40225.91,22305.33,,40964.795,,,,47137.705,23889.54,,,,21412.63,,,59883.79,,,,48733.8100000001,,,,,,,,
1470115466112,,,,,,,,,,,,,,,,,,,,,,18713.125,30287.1950000001,23882.0299999999,,,,,,,,54716.6949999999,75091.4849999999,,,,,15570.5999999999,,
1470058615937,,27520.29,54348.2199999999,,,,,,,,,,27120.0049999999,19869.71,,14921.845,,,,,,,,,,,8676.91499999998,39131.41,,,,,,,38892.285,,,,,
1470002023549,,,,,16174.135,,,,,9742.78500000003,,,17571.455,,,,11318.915,,,15852.845,12633.355,24213.27,,,17803.585,,,,,24722.43,,,,,13025.44,,,18507.74,,27824.085
1469964465231,12248.295,,,,,,,16533.405,,,,,10056.16,,,,10393.945,12879.435,,11211.38,19174.645,,,,9941.87,,,,,,9364.52000000002,,,24449.085,,,,20727.165,,
1470087874233,,,,,,,,,,,,,,,,,,,,,,,,,28039.5,22707.685,,,,,,,,,,,,,,
1470034809936,,,,,12747.1,,,,,15175.11,,,,,,,8767.45999999996,,,,,,54693.4999999999,30802.64,,,,,,,,,39536.075,8915.75499999989,,,12611.5,8834.84499999997,,
1470144761429,,,,,23842.82,,,,,10310.01,,,,,,,25123.37,,,,,30529.365,33873.02,,,,,,,,,50445.795,43902.73,,,,14049.395,,,
1469978125015,,,,,,,,10182.33,,13853.22,,,17692.53,,,,10523.545,13692.705,,23035.85,16955.78,13033.4450000001,,,9811.76000000001,,,,,,11198.555,,,,9972.33500000001,6670.67999999999,6103.13499999999,,,
1470026550162,,,,,,,,,,,,,29833.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469972482780,13347.52,,,,,,,17996.595,,,,,10457,,,,17706.34,,,11022.0650000001,22590.37,,,,17610.095,,,,,,14536.0349999999,,,,11624.775,,10253.06,,26526.875,
1469973045082,17002.03,,,,,3935.82000000001,,,,,,,,,,,,,26823.19,,15049.815,,,,2329.32000000001,,,,,14557.39,,,,,27771.73,,,,,
1470049970037,20748,,,,,,,,,,,,,,,,,,,,13606,21361.995,,,9599.99999999997,,,,,,34178,,,,,,,,,
1470289696195,16883.22,,,,,,,,,,,,,,,,,,,,,23372.725,,,,,,,,,9922.82,,,,,,,,,20101.315
1470122348143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469989612748,,,,,,,,,,,,,43498.16,16260.985,,47631.2499999999,,,,,,,,,,41812.8500000001,,,,,,,,,28814.74,,,,,
1470122339693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470119143447,,,,,17216.5,,,,,20487.3999999999,,,15090.57,,,,25722.215,19187.105,,38158.51,10468.835,23420.3,,,12056.4350000001,,,,,13005.64,,,,,,,11247.845,,,29711.075
1469962906599,,,,,,14345.91,21785.05,,,,,,,,,,19395.915,18505.055,,32347.3,,42960.355,,,13345.835,,,,,9616.36500000005,,,,22603.76,,10632.505,,,,30186.505
1469998928483,22745.7000000001,,,,,,,,,,,,15860.53,,,,26008.565,20649.69,,20092.995,19205.585,17827.97,,,23097.625,,,,,,20205.8150000001,,,,24491.27,,16012.455,,,
1469965652457,,,,,,,,,,11110.435,50416.785,,,,,,7198.495,,,,,13779.98,41344.65,,,,,,,,,55823.285,25785.5100000001,,27491.425,,19931.575,,,18737.215
1470036784071,,,,,,,,,,,,,29106.615,,,,,,,,,,,,,26825.34,,,,,,,,,,,,,,
1470090046291,,,,,16215.54,,,,,20921.195,,,,,,,21641.31,,,,,,52901.925,21681.7,,,,,,,,39203.36,40415.32,,,,,,13747.995,
1470070037371,,,,36843.31,,,,,,,,,24024.215,29935.15,42057.26,33378.26,,,,,,,,,,,14997.745,23954.51,,,,,,,28107.325,,,20522.165,,34863.74
1470002824725,,,,,,,,,,,,,39595.895,,,,,,,,,,,,,,,,,,17367.925,,,,27085.925,,,,,
1470036183094,,,32924.245,43624.1299999999,,,,,,,,,38104.235,34669.11,39061.74,,,,,,,,,,,,19456.4299999999,40635.48,,,,,,8175.52499999991,,,17980.0250000001,,47238.8850000001,
1469985266146,37738.95,7504.82999999996,,,,,,,,,,,17326.565,7830.77000000002,34462.805,27921.33,,,,,,,,,,21072.96,37977.465,,,,,,,12889.0049999999,,29706.755,17110.815,,,
1469966141840,,,,,,,,,,,21433.0250000004,,,,,,7988.45000000019,,,,,15996.02,56350.115,,,,,,,,,,21096.04,,15353.1,,13105.6299999999,,,
1470037755373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470002469969,13611.7,,,,,,,,,,,,,,,,,,,,,,,,13496.595,,,,,,,,,,,,,,,
