,four/aLogic,four/aLogicNegative,four/aLogicNegative1,four/aLogicNegative2,four/aStructure,four/b1Logic,four/bLogic,four/bStructure,four/cLogic,four/cStructure,four/forArithmetic,four/forArray,three/aLogic,three/aLogicNegative,three/aLogicNegative1,three/aLogicNegative2,three/aStructure,three/b1Logic,three/bLogic,three/bStructure,three/cLogic,three/cStructure,three/forArithmetic,three/forArray,two/aLogic,two/aLogicNegative,two/aLogicNegative1,two/aLogicNegative2,two/aStructure,two/bLogic,two/bStructure,two/forArithmetic,two/forArray,special/forArr0,special/forArr1,special/forArr2,special/forArr3,special/forArr4,special/forArr5,special/forArr6
1470031400405,,,39193.63,48988.5649999999,,,,,,,,,,,60001.93,,,,,,,,,,,,,,,,,,,,,,,,,
1470039782348,,,,,,,,,13313,,,,,,,,,,,,,,,,,,,,,,,,,,,16974,,,3821,
1470118067818,,,,,,,,,,7856.20500000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470117139962,,,15327.3199999999,,,,,,,,,,,,,,,,,,,,,,,,,60000.365,,,,,,,,,,7911.06999999995,,25585.1
1470029060299,,,,16595.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12861.905,,,41984.88,,,
1470035456998,323.125,,,,,,,3173.62500000001,,,,,,,,,296.964999999997,353.869999999995,331.010000000009,447.779999999999,30514.685,473.154999999999,,,452.805000000022,,,,,,351.895000000019,,,,260.720000000001,,460.325000000012,,,16767.39
1469963784435,,,,,23120.4950000001,,,,,15075.615,,,,,,,36568.265,,,16761.19,,28203.3749999999,,,,,,,,,,,,,21712.84,28435.03,,,,
1469964816087,,,,,,,,,,,,,,,,,,,,,,,44864.685,19198.055,,,,,,,,,14821.88,,,,,,23750.215,
1470120898716,,,18520.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6225.61000000002,,,,,,
1470122369905,,,35442.5249999999,,,,,,,,,,,,52724.1699999999,25228.98,,,,,,,,,,,,,,,,,,,,,,8101.3600000001,,
1467558385125,,40731.045,5550.34499999997,,,,55724.765,,,,,,,,,,,,,,,,,,,,12645.495,,,,,,,,,,,,,
1469962494238,,,,,,,,,,,,,,,,14697.835,,,,,,,,,,,,,,,,,,,16289.13,,,,,25077.01
1469972489804,,,34609.595,,,,,,,,,,,,,,,,,,,,,,,,41825.53,,,,,,,,9122.29499999998,,15205.405,,,
1470045861798,,,2614.39,1972.92000000001,,,,,,,,,21214.415,2359.56,,,,,,,,,,,,,2606.94000000003,,,,,,,,,21840.905,,,,
1469964411938,,,,,,,,3594.04499999998,,6555.36500000005,,,,,,,2366.94500000012,2341.55499999999,1799.62,5959.65499999997,4064.35999999993,1701.91500000015,,,,,,,,,2664.23999999999,,,,,,11589.715,,,60011.315
1469964958370,,,32150.555,,,,,,,,,,,,50031.355,,,,,,,,,,,,,,,,,,,,,,,,,
1470052983807,,,30410.495,,,,,,,,,,,,,,,,,,,,,,,,30562.16,,,,,,,,,,,,,9261.65500000001
1470037228441,,,,,,,,,,,,,,,,,,,,,,23011.845,,57795.025,,,,,,,,,,,,15778.405,,,,13451.985
1470124390113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469996564491,,,,,,,,,,,,,,,,,,,,,,,,8701.82500000001,,,,,,,,,,18354.22,,,,,,
1470029490100,,,,,,,,,,,,,,22065.295,,,,,,,,,,,,,,,,,,,,,,,,,,
1470122746635,,32889.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3082.875,
1470132444759,,,,,,,,,,29323.39,,,,,,,,,,,,,,,,,,,,,,,63941.6,,,,,,,25613.05
1469965400678,,,35325.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6696.245,,,,11609.18
1470033792491,,,,,,,,,,,,,,,58002.605,,,,,,,,,,,,,,,,,,,,,,,,,
1469966309841,,,,,,,,,,,,,,,20247.63,11867,,,,,,,,,,,13643.64,,,,,,,,,,24113.685,,,
1469985861182,,,,,,,,31547.52,,23483.875,,,,,,,,,34483.22,,,,,,,,,,,,,,,,,,,,11068.515,
1469963304696,,,,,,,,,,25459.65,,,,,,,,,,,,,24039.66,,,,,,,,,,,,,,,,,
1469966926695,,,22731.905,,,,,,,,,,,,44944.07,,,,,,,,,,,,,,,,,,,,,,,,,
1470037055414,,,,,,,,,,,,,,,59999.175,,,,,,,,,,,,64884.725,72917.0649999999,,,,,,,,,16133.015,,,
1469965077825,,,,,,,,59996.56,,,,,,,,,,,22185.925,,,,,,,,,,,,,,,,19866.4399999999,,16988.15,,,30544.995
1470046932302,,,36847.9300000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12928.5800000001,,,
1470070621755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470124144722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22356.065,
1470033405428,,,,,,,,,,,,,,,,,,,,,,12952.0499999998,14298.2449999996,,,,,,,,,,,,,,,,,
1470145252171,,,,,,,,,,,,,,,,,,31279.36,19912.055,,,,,,,,,,,,,,,,,,,,,
1470057600448,,,53521.2609999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003.6280000004,,,,,30658.6459999998
1470056794199,,,,,,,,,,,,,14078.705,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469998695917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85182.275,,,,,,15074.39,,
1470076633371,,,,,,,,,21663.37,,,,,,,,,,54003.31,,,,,,,,,,,,,,,,,,,,,
1465909392864,,7089.605,,,,48874.795,59997.09,,,,,,38663.505,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469964063044,,14255.2699999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12168.51,,19557.855,,,
1469995626124,,,,,,31548.625,,,,,,,,,,,15618.79,29204.465,21394.975,25403.83,7990.60000000003,,,,,,,,,,,,,,12868.42,,,22787.055,,
1469969992656,,19755.41,17979.175,,,,,,,,,,54996.7,,,,,,,,,,,,,,,19765.875,,,,,,,10920.24,,,30632.05,,
1469981767844,,,,,,,,,,,,,,,,,,,,,,,,24725.845,,,,,,,,24493.82,,20110.7400000001,,,,,,
1470029078654,,,,,,,,,,17437.42,,,,,,,,,57088.915,21704.565,23397.16,24627.725,,,28184.3150000001,,,,,,,,,,14268.9150000001,,,8002.94500000001,,
1470144972921,,,,,,,,,,,,,,,,,,,,,,,,,,,14029.405,,,,,,,,,,,,,
1469966543184,,,,,,,,,,,,,,,,,,,,,,,,49432.695,,,,,,,,,17176.65,,,,,,,
1469988078434,,,,,,,,,,,,,,,58000.5700000001,,,,,,,,,,,,,,,,,,,,,,,,,
1470002551516,,,,,,,,,10199.87,,,,,,,,,,16378.22,,,,,,,,,,,,,,,,,,,,,
1469970535113,,,,,,,,,,,,,,,,,,,24987.46,,,15911.945,,,,,,,,,,,,,,,,,,
1470114426792,14629.655,60002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40112.71
1469964169880,,6817.01499999998,25861.325,,,,,,,,,,,3258.79499999998,4859.00499999998,2002.905,,,,,,,,,,,,,,,,,,7660.05000000002,,,,3722.80500000002,9619.18499999997,
1470131807273,,,39761.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6739.98000000001,,
1470070520259,,,,,,,,,53009.745,,,,,,,,,,17161.08,,,,,,,,,,,,,,,,,,,,,
1469982972961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469978012410,,,,,,,33625.255,,8246.88499999995,,,,,,,,,,22790.785,17562.7500000001,10122.79,11129.73,,,,,,,,,15265.6,,,,,,,,,15685.89
1469966387398,,,,41874.8,,,,,,,,,,,,23258.45,,,,,,,,,,,,,,,,,,34664.37,,8932.12499999994,15392.33,,,
1469977411605,,,,,,,,,,22317.07,,,,,,,,,24926.665,,7601.85999999999,13819.9049999999,,,,,,,,,,,,,,,,34328.28,,
1469990397994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13954.64,,,,
1470122325645,,24007.64,15267.7749999999,,,,,,,,,,25248.35,25964.1249999999,37287.9,52370.0649999999,,,,,,,,,,15151.0649999999,47625.0550000001,,,,,,,19311.1,,31399.9999999999,,,35785.23,
1469965385923,35487.485,,,,,,,,,,,,,,,,,,22184.89,,,,,,6370.67999999999,,,,,,,,,,,,,,,13081.735
1469985827130,,,,,,,,,,,,,,,,,,,26186.125,,20282.83,,,,,,,,,,,,,,,,,,,
1470036850171,,,,,,,,,,,,,,8016.56000000238,,,,,,,,,,,,,,,,,,,,,,,,,,
1470017270494,,,,,,,,,,,,,,,,,,,,,,,,,,24337,,,,,,,,,,,,,,
1470163465203,,,,,,,,,,,,,,,,,,,19678.45,,,,,,,,,,,,,,,,,,,,,
1470001436130,,,26295.17,53693.94,,,,,,,,,,,,15959.585,,,,,,,,,,,,,,,,,,,,9387.47500000001,,12331.62,,
1469977693342,,,,,,,,,,,,,,,,,,,,,,,,34198.385,,,,,,,,,,,,22553.86,,,,
1469983679120,28976.3,23986.73,,,,,,,,,,,,,21067.34,,,,,,,,,,,,,,,,,,,,,,,,,
1469964447229,,,,,,,,,,,,,,15667.18,29879.52,,,,,,,,,,,,29877.6949999999,,,,,,,,,,16558.185,,,
1470302111758,,,,,,,,,,,,,,,33390.0000000001,59000.9999999999,,,,,,,,,,,60000.9999999999,14593.9999999999,,,,,,,30149,,22827.9999999999,53559,,
1470050029503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15478.895,,,,,
1469966046306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15901.315,,15582.525
1469982375193,,,14759.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470036565642,,,,,,,,,,,,,,,,,,,,,,13358.565,,,,,,,,,,,,,,,,,,
1469966173830,,,,,11769.29,,,,,,,,,,,,,,,,,,,,,,,,,7564.95500000002,,,,,,,,,25284.88,
1469982042517,,,30286.3100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10172.64,,16575.54
1470025311620,,,,,,,,,,,,,,,39746.955,,,,,,,,,,,,,,,,,,,,17528.215,16766.655,,,,
1470123104685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7232.35500000001,,,7796.16500000001,
1470061653106,,,,,,,,,,,,,,,,,,,24057.725,,,,,,,,,,,,,,,,,,,,,
1469969909853,,,,,,,,,,,,,,,,,,,,,,,6061.34000000001,10946.615,,,,,,,,,4699.52999999999,,9454.235,7736.74500000001,,,,
1470029409862,,,,,,,,,,,,,,39402.39,,,,,,,,,,,,,,,,,,,,,,,,,,
1469983652932,,,,,,,,,,,,,,,,,,,25261.445,,,,,,,,,,,15004.78,,,,,,,,,,
1470028541252,,,17097.25,43148.395,,,,,,,,,29053.29,59994.8749999999,28459.54,20893.865,,,,,,,,,,,,,,,,,,,,15003.185,,23455.81,,
1470037816336,,,,,,,,,,,,,,,,,,,,,,,,12359,,,,,,,,,,,,,,,,
1470070517773,,,,,,,,,,,,,,,,,8263.655,7097.40999999997,20376.555,,,,,,8947.29500000004,,,,,,,,,,7155.10000000003,,,19950.71,,
1467641908895,,,38531.07,,,,,,44214.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470038176538,,,,,,,,,,,,,,,,,,,,,,,35264.57,89999.915,,,,,,,,,,,,,,,,
1465979598297,,,,,,,13727.9,20967.26,41557.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470214687478,,,,,21060.465,,,,,,,,31178.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470123416638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469984726018,,,,,,,,,,,,,,,39134.905,,,,,,,,,,,,,,,,,,,,,,,32187.1,,
1469971148916,,56037.495,18341.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470031273706,,41887.2199999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27066.8849999998
1470115016080,,,,,,,,,,,,,,,,,,,34779.005,,,,,,,,,,,,,,,,,,,,,
1469967808905,,,,,,,,,,,,42116.555,,,,,,,,,,,,,,,,,,,,34253.26,,,,,,,,
1470117844523,,,,,,,,,,,,,,,,,,,17832.815,,,,,,,,,,,,,,,,,,,,,
1470128329765,,,,,,,,,,,,,,,,,,,18307.12,,,,,,,,,,,,,,,,,,,,,
1469967043880,,,10539.32,,,,,,,,,,3725.12,,,,,,,,,,,,,,,,,,,,,,,18481.4,,10230.665,,
1470100307032,12314.135,,,,,,39876.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11452.815,,
1470037548067,,,,,,,37167,,,,,,3245.99999999994,,,,31035,,821.999999999942,701.000000000058,985,16817,,,617.000000000058,,,,,677.994999999995,,,,1387,,,,928,40694,
1470029781937,,,,,,,,,,,,,,,,,,,14928.235,,,16948.785,,,,,,,,,,,,,,,,,,
1470035349065,6906.45500000002,,,,,,,,,,,,,5306.14,47943.635,,,,,,,,,,,,,,,,,,,,,,,,,
1469996261690,,,23152.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466520707392,,48843.8199999999,,55048.6349999999,,,,,,,70010.915,54866.9450000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470115466112,,,,,,,,,,11885.255,35985.1549999999,,,,,,27497.125,,,,,,,,,,,,,,,,,17067.17,,,,,17561.7550000001,
1470058615937,,,,,,,,,,,,,,,5004.31,,,,,,,,,,,,,,,,,,,,,,,18832.26,,12627.83
1470002023549,,,,,,,,,,,,,,,,,,25192.09,5953.23000000001,,,,,,,,,,,,,,,,,,,,,
1469964465231,,,,,,,,,,,,,,,,,,,13519.29,,,10702.68,,,,,,,,,,,,,,8441.43000000001,,,,
1470087874233,,,,,,,,,,,,,,,52008.52,,,,,,,,,,,,,,,,,,,,,,,,,
1470034809936,,,,,,,,,,,,,,,,,,,,,,10456.405,,,,,,,,,,24639.5,,,,,,,,
1470144761429,,,,,,,,,,,,,,,,,,,,,,,,21744.135,,,,,,,,,,,10752.795,,,33898.02,,
1469978125015,,,,,,,,,,,,,,,,,,,12365.355,,,,,,,,,,,,,,,,,,,,,
1470026550162,,,,,,,,,,,,,,,,,,,59996.56,10442.81,,,,,,,,,,,,,,,,,38575.88,,,
1469972482780,,,,,,,,,,,,,,,,,,24085.72,27954.125,,,27422.045,,,,,,,,,,,,,,,,,,
1469973045082,,,,,,,26096.3050000001,,,,,,6629.60499999998,,,,2138.59999999998,19307.63,,41316.32,,7066.72000000003,,,,,,,,,,,,,,,,,52968.26,33198.34
1470049970037,,,,,,,,,,,,,2447.995,,,,13847,,,,,,,,,,,,,,,,,697.994999999966,,14618.005,8548,,,
1470289696195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470122348143,,43093.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469989612748,,28518.015,48648.575,,,,,,,,,,,,5439.64499999996,,,,,,,,,,,,59802.825,,,,,,,,,21461.925,,,,46835.26
1470122339693,,,,,,,,,,,,,,,,60799.19,,,,,,,,,,,,,,,,,,,,,,,,
1470119143447,,,,,,,,,,,,,,,,,,,31052.285,,,,,,,,,,,,,,,,13121.525,,,,,
1469962906599,,,,,,,,,13795.89,,,,14640.68,,,,,,36764.36,,25560.97,,,,,,,,,,,,,,,,,,,
1469998928483,,,,,,,,,,,,,,,,,,,42801.98,,,,,,,,,,,,,,,,,42280.05,,,,
1469965652457,,,,,,,,,,,,,,,,,,,,,,,,35944.9600000001,,,,,,,,,,,,,,,,
1470036784071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9259.005,,,49726.01,,
1470090046291,,,,,,,,,,,,,,,,,,,,,,26064.225,,,,,,,,,,,,,22777.6,,11846.975,,,
1470070037371,,,37900.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470002824725,,,,,,,,,,,,,,,,,25097.19,,,,,14143.075,,,,,,,,,,,,,,,,,,
1470036183094,,,,,,,,,,,,,,,,23943.7649999999,,,,,,,,,,,,,,,,,,,,,,,,
1469985266146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469966141840,,,,,,,,,,,,45256.26,,,,,,,,,,,,33302.54,,,,,,,,46001.0550000002,,,,,,,,17153.9249999998
1470037755373,,,,1002.72,,,,,,,,,,,3685.685,,,,,,,,,,,,,,,,,,,,,,,,12827.425,
1470002469969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470064866744,45161.5,,,,,,,,,,,,,,,,,,19455.9050000161,,5538.28499999642,,,,,,,,,,,,,,,,,,,8050.75999999046
1466501810960,,,17240.52,,,,25710.385,,,,,,,,,,,,21281.265,,,,,34946.37,,,,,,,,19129.655,,,,,,,,
1469964952556,,,,,,,,,,2984.04999999999,1837.40499999997,,,,,,,,,,,,3712.495,,,,,,,,,3983.71000000002,2977.905,,,,6107.39999999999,8388.84000000003,,
1469965097941,,,,,,,,,,,,,,,,,,,,,8251.48000000001,,,,,,,,,,15213.785,,,,,,,,,
1470069895431,,,,,,,,,,,,,,,,,,,14004.435,,7685.535,,,,19158.005,,,,,,,,,,,,,,,
1469999096086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15150.915,,,,
1469965878600,,,,,,,,,,,,,,,,,,,,,,,,37146.305,,,,,,,,,,,,,,,,
1469981855562,,,,,,,,,,,,,,,,,,,,,,,,,,,,27493.81,,,,,,,,,,,,
1470029623196,,1640.66500000004,,,,,,,,,,,,,58005.765,,,,,,,,,,,,,,,,,,,,,,,,,
1470071006497,,,,,,,,,,,,,,,,,,,,,,,33211.335,,,,,,,,,,,10385.86,,,,,,
1470070105421,,,,,,,,,,,46886.36,,,,,,,,,,,20216.555,,,,,,,,,,,,,,,,,,
1465909136063,,,,,18032.49,,7742.17500000005,,,53890.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470027976789,,,,,,,,,,,,,,,,,11250.7649999999,,,,,,,,,,,,,,,,,,,13440.9399999999,,,,
1470035691099,,,56267.445,,,,,,,,,,,,,,,,,,,,,,,,21055.435,,,,,,,,,,,7546.01000000001,,
1470221021856,,,,,,,,,,,,,,,39963.9949999999,,,,,,,,,,,59211.005,,,,,,,,,,,,,,
1465303783394,,,2615.2799999998,3125.01500000013,53403.1600000001,,11884.4650000001,,55142.49,,,,38146.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469999317043,,,,,,,,,,,,,,,,,,,7055.21500000001,,,,,,,,,,,,,,,,,,,,,
1470034983838,,,,,,,,,,,,,,21144.27,,,,,,,,,,,,,,,,,,,,,,,,,,13547.15
1469967258591,,,,,,,,,,,,,,,,,,,,,,14476.4499999583,32521.299000131,33368.088999996,,,,,,,,,,,,,,,,
1470037001166,,,,,,,,,,,,,,,,,,,52901.82,,,,,,,,,,,,,,,,49356.06,10531.475,,,,14942.5500000002
1470090531258,,,25272.095,,,,,,,,,,,,32154.32,,,,,,,,,,,,,23057.5,,,,,,,,10633.365,,,,
1465903933205,,,,,,,,,59603.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469967824804,,,45035.255,,,,,,,,,,,,32256.985,,,,,,,,,,,,,,,,,,,,,,,,,
1470036150192,,,11826.61,,,,,,,,,,,,,14370.845,,,,,,,,,,,,,,,,,,,,,,,,
1470057192096,,,,,,,,,,,,,,,,,,,23714.3129999986,,,,,,,,,,,,,,,,,,,,,
1470002405508,,,,,,,,930.930000000008,,630.505000000001,,,370.135000000009,,,,383,553.964999999997,424.884999999995,1092.38,,927.80000000001,,,,,,,,,540.700000000001,,,,,,202.715000000004,,5970.09,
1470000485272,,,,,,,,,,,,,,,,,,37462.54,15491.855,,,,,,29291.08,,,,,,,,,,14265.815,,,23489.99,,
1469963957759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21714.325,,,,
1469966811682,,,,,,,,,,,,,,,,,14190.065999981,,21964.8619999643,60001.0510000866,,,,,,,,,,,,,,,,,,,,
1470097449501,,,,,,,,,,,,,,,,,,,,,,,22249.165,,,,,,,,,,,,,,,,,
1470083459924,,,25003.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32740.72,,,,
1469966187633,,,,,,,,,,,,,,,22240.1659998577,,,,,,,,,,,,,,,,,,,,,,,,,11072.3190000281
1469984988833,33852.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16840.785,,
1470029667573,,,,,,,,,,,,,,,,,,,15749.05,,,,,,,,,,,,,,,,10285.77,,,,,
1470029412016,,,,,,,,,,,,,,,,,,,32189.47,,,22851.295,,,,,,,,,,,,,,9123.44499999995,,,22983.0650000001,
1470031569406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470122840008,,,,,,,,,,,,,,,,,,18349.6749999999,26836.135,,,,,,,,,,,,,,,,16616.03,,,,,
1470037206919,,,,,1061.67499999999,,,,,1381.99500000001,,,,,,,,,,,,,,22081.985,,,,,2726.57500000001,,,,,,,,928.735000000001,,3674.89000000001,
1470053276267,,,,,,,,,,,,,,,,,,6000.05499999999,7155.41999999998,,30546.425,,,,,,,,,,,,,,,,,,,
1469998945815,,,,,,13068.7850000113,,,,,,,,,,,,,21733.3300000131,,,,,,,,,,,,,,,,,,,9214.77499999106,,
1469990696217,,,29460.11,45430.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24511.11
1470289364010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26667.685,,
1470035126676,,,,,,,,,,8308.53000000003,,,,,,,,,13186.515,,,,,,,,,,,,,,,,,,,,,
1469978692021,,,,,,,,,,,,,,,,,2252.10000000003,,,,,,3345.69,10093.255,,,,,,,,,,,,,,30886.925,,
1470038169797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6649.36499999999,,,,6061.83999999997,,,,,
1470039594689,,,,,,,,,,,,,,,,,,,,,,,45719.165,,,,,,,,,,,7593.35000000056,,,,,,
1470219071274,,,,,,7740.87499999994,,,26900.29,,,,,,,,7210.70499999996,,,59984.985,29626.22,59984.2450000001,,,,,,,,,,,,,,,,33434.72,,
1469973340864,,,,,,,,,,,,,,56002.87,,,,,,,,,,,,,,,,,,,,,,30385.25,,,,
1470069475380,,,55475.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469965849657,,,12322.485,,,,,,,,,,,,41897.88,,,,,,,,,,,,,,,,,,,,,,,,,13642.125
1470011591760,,,,,,,,,,,,,,,,,,,,,,,17935.745,,,,,,,,,,,,,,,17356.945,,
1469965545129,,,,,,,,,,,,,,,,,,,18085.15,,19374.315,,,,,,,,,,,,,,,,,,,
1467530714428,,,,,,53001.18,,,,,,68615.795,,,,,,29305.81,,43274.265,,,,,,,,,,,,50208.755,,,,,,,,
1465979290443,,,,,,19685.645,,,,38742.685,,,24258.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470038193843,,,,,,,,,,,,,36820.275,28843,,,,,,,,,,,,,,,,,,,,,,,,,,
1469964181133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9096.18499999997,,,25775.99,,
1470046411825,,52609.4049999999,,,,,,,,,,,,10460.225,,,,,,,,,,,,,,1927.31,,,,,,,,,,,,
